sample_size,cvec_pca16_kld,cvec_nmf16_kld,cvec_umap16_kld,cvec_tsne16_kld,bert_kld,roberta_kld,distil_kld,glove6B_kld,universal_kld,cvec_pca16_ks,cvec_nmf16_ks,cvec_umap16_ks,cvec_tsne16_ks,bert_ks,roberta_ks,distil_ks,glove6B_ks,universal_ks,cvec_pca16_cos,cvec_nmf16_cos,cvec_umap16_cos,cvec_tsne16_cos,bert_cos,roberta_cos,distil_cos,glove6B_cos,universal_cos,cvec_pca16_recon,cvec_nmf16_recon,cvec_umap16_recon,cvec_tsne16_recon,bert_recon,roberta_recon,distil_recon,glove6B_recon,universal_recon,cvec_pca16_kmeans,cvec_nmf16_kmeans,cvec_umap16_kmeans,cvec_tsne16_kmeans,bert_kmeans,roberta_kmeans,distil_kmeans,glove6B_kmeans,universal_kmeans,cvec_pca16_taddy,cvec_nmf16_taddy,cvec_umap16_taddy,cvec_tsne16_taddy,bert_taddy,roberta_taddy,distil_taddy,glove6B_taddy,universal_taddy,topics_taddy,random_noembed
100,0.2859087814840027,0.2380216383307573,0.038461538461538464,0.0,0.18763796909492272,0.06435643564356434,0.09829059829059827,0.06829268292682926,0.1703617269544924,0.010362694300518132,0.0,0.333694474539545,0.025510204081632657,0.17869415807560138,0.0,0.14145383104125736,0.16978417266187049,0.3071161048689139,0.17437722419928828,0.039119804400978,0.2387096774193549,0.05378973105134475,0.0911062906724512,0.030769230769230767,0.0709812108559499,0.02948402948402948,0.08800000000000001,0.14890016920473775,0.0,0.05417607223476298,0.05188679245283018,0.04,0.03414634146341463,0.0,0.010416666666666666,0.029776674937965257,0.05994152046783626,0.17878991662926919,0.16075687036621786,0.07041027865387882,0.0840828980831732,0.08253185821411951,0.15801936252041207,0.19614102258393784,0.13796494295292056,0.16615129026824993,0.2517234066963084,0.07370321384812994,0.09950276640772285,0.050719335365397175,0.13977349621919546,0.09868990188894317,0.15462010324122283,0.12454260382029328,0.032715837819255085,0.09895706137196192
200,0.0,0.3181299885974914,0.26303317535545023,0.06557377049180327,0.17370325693606753,0.32217573221757323,0.08775981524249422,0.35137034434293746,0.12871287128712872,0.014705882352941175,0.2765957446808511,0.2,0.2785636561479869,0.24369747899159666,0.12419700214132763,0.208078335373317,0.15837937384898712,0.30662020905923343,0.12098298676748585,0.044117647058823525,0.1425661914460285,0.11320754716981132,0.20593368237347293,0.07675906183368869,0.03902439024390244,0.04796163069544365,0.1680960548885077,0.2334293948126801,0.03836930455635491,0.18327974276527328,0.2201834862385321,0.3087431693989071,0.17037037037037034,0.0,0.010443864229765013,0.30867346938775514,0.22164037241322862,0.07655336192535356,0.17859498474944646,0.23582907818349907,0.1614153475139499,0.16524615916038057,0.2221341376980549,0.21088062029864285,0.1637728720172384,0.328804988931074,0.31371127686393874,0.2990535363113357,0.2763470275813177,0.10076009045969439,0.2158681956454817,0.09112188660419368,0.1740194379015429,0.21181488044270944,0.09708415669430258,0.23388889662056112
300,0.2983970406905055,0.31884057971014496,0.2587601078167117,0.1214574898785425,0.2676056338028169,0.35364806866952786,0.27384615384615385,0.3659147869674185,0.10984848484848483,0.3438914027149321,0.34796747967479674,0.16479400749063672,0.2857142857142857,0.21870047543581614,0.3636363636363636,0.12334801762114538,0.12550607287449392,0.30864197530864196,0.13636363636363635,0.0881057268722467,0.11013215859030837,0.17557251908396945,0.22658610271903326,0.09580838323353293,0.005249343832020997,0.13457943925233642,0.2073365231259968,0.2878048780487805,0.09251101321585904,0.10893246187363836,0.05607476635514018,0.16528925619834708,0.17921146953405018,0.06496519721577726,0.26099706744868034,0.3119496855345911,0.24414716956383292,0.1361688350281921,0.21374673477709963,0.33900094034406686,0.19923509376457438,0.2032906574487732,0.21737472027841812,0.22079636593411417,0.23505190202877843,0.30459271278585637,0.3223867909009791,0.30676894331670346,0.24892597856719967,0.2716247328729525,0.1760062407821687,0.1267071097645921,0.14748014283982197,0.20821287931525256,0.14473367629823033,0.28076960617728297
400,0.1638733705772812,0.31217239370995925,0.21859706362153344,0.318936877076412,0.2860548271752086,0.3267813267813268,0.23728813559322035,0.340167046317388,0.11946050096339113,0.35975066785396265,0.3575221238938053,0.31901840490797545,0.3522617901828681,0.2863485016648169,0.2878048780487805,0.3333333333333333,0.3735177865612648,0.295837023914969,0.28918918918918923,0.11284046692607005,0.22,0.2663252240717029,0.14173228346456693,0.11654135338345865,0.048426150121065374,0.18838304552590265,0.2665036674816626,0.3201663201663202,0.3351120597652081,0.2861271676300578,0.3247863247863248,0.22377622377622375,0.23380726698262244,0.3597765363128491,0.33439153439153435,0.34210526315789475,0.27453336757246916,0.27892016603981096,0.20351265837563093,0.2576219746597816,0.24828122758904156,0.27360921709511427,0.23979955317908613,0.30307843674388096,0.27945298534061047,0.3205538348345636,0.30990493350318504,0.31100713264636737,0.311624635212956,0.2144807768200488,0.264086029343688,0.28499188709620166,0.15466993482167507,0.28015701163740203,0.04175958103040969,0.2620356317462457
700,0.2916093535075653,0.3338301043219076,0.2787286063569682,0.3680709534368071,0.3360995850622407,0.3648148148148148,0.3263263263263263,0.3573770491803279,0.2656042496679947,0.2838709677419355,0.35241502683363146,0.2991556091676719,0.352165725047081,0.3574702108157653,0.3475609756097561,0.3065843621399177,0.3019744483159117,0.3234111021721641,0.2830930537352556,0.15358361774744025,0.3119266055045872,0.21578099838969406,0.34513274336283184,0.1897590361445783,0.2986899563318777,0.31519274376417233,0.2906976744186047,0.3482905982905983,0.3499043977055449,0.3224299065420561,0.3406113537117904,0.2585365853658537,0.21600000000000003,0.3542354235423542,0.3221343873517787,0.3685687558465856,0.3279118908839896,0.28246740430396744,0.2880926654454467,0.34798115452862743,0.32715826850906965,0.27805038900964335,0.26167491538750176,0.34096621506914876,0.29535809219492176,0.2977068941783031,0.29614806809032374,0.34396278331281843,0.292965516792415,0.3304243968353188,0.29634814327423376,0.2969905439206519,0.30305656793097274,0.33271078386133707,0.2832929847236582,0.3155553886636393
1000,0.33594624860022393,0.3281250000000001,0.3405572755417957,0.3728813559322034,0.3594566353187043,0.3207070707070707,0.3118189438390612,0.3484419263456091,0.3471615720524018,0.32953367875647666,0.3666061705989111,0.35476718403547663,0.3436928702010969,0.3546889507892293,0.3691460055096419,0.3524504692387904,0.3641912512716175,0.3313521545319465,0.37021716649431213,0.2567394094993581,0.2537142857142857,0.3433962264150943,0.3689892051030422,0.21636615811373092,0.3926056338028169,0.33707865168539325,0.3537688442211055,0.3698884758364313,0.3623570800351803,0.3492407809110629,0.3662511984659636,0.2389289392378991,0.3047619047619048,0.3676190476190476,0.3502392344497608,0.3700097370983447,0.36896200792598566,0.3511510190918259,0.3450099336005881,0.33819729330851384,0.3574287311978308,0.3636939823056667,0.36214367206426556,0.32955261871575486,0.35160925664825354,0.316234706545074,0.3127073121026369,0.33811120041431736,0.32644513149960186,0.3555742783837748,0.3554533472931065,0.32685754272909506,0.33398305321733746,0.35133092291170565,0.27732321620009415,0.32737847525160224
1400,0.3505976095617529,0.3273615635179153,0.3713527851458885,0.3711133400200602,0.3714020427112349,0.3711558854718982,0.32977850697292865,0.3723076923076923,0.3523421588594705,0.3608736942070275,0.3723021582733813,0.3428571428571428,0.3618843683083512,0.34965034965034963,0.37241379310344813,0.3385909568874868,0.3670886075949367,0.3220568335588633,0.3531786074672049,0.35582822085889565,0.2783171521035599,0.2901098901098901,0.3658767772511848,0.2553699284009546,0.3383525243578388,0.3608870967741935,0.34708994708994706,0.3751253761283852,0.36415633937082936,0.34118967452300786,0.3743937924345296,0.2940540540540541,0.3451676528599605,0.3898305084745763,0.35720448662640203,0.378585086042065,0.36743685021745665,0.3495557209860573,0.35074473879580814,0.34210883951244014,0.3536472655459548,0.353021901248343,0.36632612120377656,0.35818338577996095,0.35800289531007395,0.3403185315187312,0.3244886425696286,0.3406740519593593,0.35545862476692885,0.38275906153618416,0.3603105945101478,0.3120968755473416,0.3338857821746815,0.3505387196270233,0.27198760239776626,0.3523037400200645
1800,0.3601220752797559,0.33915574963609896,0.3616236162361624,0.3832221163012393,0.37301587301587297,0.3825025432349948,0.3535911602209945,0.3757472245943638,0.34631147540983603,0.3733602421796165,0.3628546861564918,0.3930635838150289,0.370722433460076,0.3542288557213931,0.3775971093044264,0.36174242424242425,0.36832740213523135,0.33867276887871856,0.3771106941838649,0.33261802575107297,0.3146067415730337,0.3431952662721894,0.3391384051329056,0.3355450236966825,0.3744607420189819,0.3344191096634093,0.3578947368421053,0.3895853423336548,0.3670411985018727,0.38085742771684944,0.38649155722326456,0.3508771929824561,0.3638059701492537,0.3925925925925926,0.35294117647058826,0.3737089201877935,0.3603170720240739,0.3739804899341185,0.35772886736098725,0.3735657776229715,0.3819845276532772,0.3720240545278927,0.3584577206557036,0.3627423504084355,0.36411600190485516,0.3561279126549023,0.34282380789519806,0.3436372165092517,0.3512377335174449,0.3626684800783011,0.3636026684705986,0.32696154902370733,0.36329533963918426,0.3389451955684086,0.3294806539949211,0.3638572228642894
2400,0.375330396475771,0.3406754772393539,0.3729781160799239,0.3755020080321286,0.3824928639391056,0.3858961802154751,0.3566666666666667,0.38608119304059657,0.3694267515923567,0.3842364532019705,0.3633360858794385,0.3761755485893417,0.37064910630291625,0.37627432808155703,0.3808647654093836,0.3660130718954249,0.3729781160799239,0.3534136546184739,0.3774954627949184,0.3610851262862488,0.37418147801683815,0.3719165085388994,0.3385964912280701,0.35294117647058826,0.3591836734693877,0.3619909502262443,0.36707663197729423,0.3826787512588117,0.36893203883495146,0.3756906077348066,0.3778966131907308,0.3426294820717131,0.36347197106690776,0.39202081526452737,0.3713235294117647,0.3768400392541708,0.36712537586891203,0.370594868269288,0.3776070659314835,0.3694510216279169,0.3753668844896331,0.3834994727977524,0.3647441246349019,0.37062313251305307,0.37759254801394504,0.3581701586144146,0.3554898909830752,0.35940115969156566,0.37968004757656854,0.3687873792993261,0.38159472972024755,0.37250643456665833,0.37442255771037514,0.3455583727818118,0.3360420913913165,0.36424467962314655
3000,0.3913793103448276,0.35471100554235946,0.3815789473684211,0.3876251137397634,0.3736263736263736,0.379182156133829,0.3809523809523809,0.3819849874895746,0.3713004484304933,0.388560157790927,0.3692307692307692,0.3724279835390946,0.37832699619771865,0.3794772507260407,0.3785365853658537,0.3707052441229656,0.3660955816050496,0.3693617021276596,0.3888404533565824,0.3625730994152047,0.3813868613138686,0.3828571428571429,0.3769100169779288,0.3799472295514512,0.3776106934001671,0.3763636363636363,0.3592142188961647,0.3703007518796993,0.3767313019390581,0.3743218806509946,0.3848190644307149,0.3527093596059113,0.3747609942638623,0.38527397260273977,0.3742911153119093,0.3820662768031189,0.3768309254750337,0.37032242269945154,0.38385692092038853,0.3805261886214306,0.3774942312543207,0.3843596019021846,0.38181398014471163,0.37187488063209845,0.3718140769822857,0.3741515376709998,0.3784078645922525,0.35650236757591647,0.37200293136480744,0.36072354908332005,0.39221582687994283,0.3768938872031805,0.3638748382861779,0.3564188034398154,0.36368156241784316,0.37175607186569704
